Hours	GPA
4	1.8
8	2.26
7	2.14
5	1.42
5	2.16
8	1.82
6	1.72
8	1.77
9	2.14
9	1.76
7	2.2
7	2.42
5	2.69
8	1.69
9	1.78
8	1.37
7	2.07
7	2.84
6	2.07
7	2.3
6	2.07
7	1.95
7	2.38
2	3.77
6	2.29
6	2.37
8	1.62
8	2.07
6	2.27
6	1.69
5	2.98
6	2.27
7	1.42
8	1.91
10	1.46
7	1.75
10	1.51
8	1.63
8	2.08
6	1.74
8	2.06
7	1.96
7	2.12
9	1.91
4	2.4
6	1.53
7	2.13
8	1.86
6	1.48
6	2.76
10	2.08
7	1.64
4	2.47
6	2.14
7	2.13
8	1.91
12	0.97
7	1.76
7	2.19
8	1.87
7	2.28
10	1.83
8	1.48
7	2.08
2	2.06
10	1.43
4	2.22
6	2.77
9	1.9
7	1.76
8	2.14
7	2.06
7	1.58
9	2.17
7	1.46
9	1.27
5	2.07
8	1.39
7	1.91
5	2.56
5	2.68
5	2.88
10	1.6
9	2.12
6	2.48
7	1.89
5	1.84
10	1.35
4	2.45
4	3.04
9	1.45
7	1.75
5	2.55
6	2
10	1.3
8	2.18
6	2.06
8	2.48
8	2.05
8	2.41
7	2.63
6	1.62
7	2.06
7	1.84
7	1.98
6	1.32
10	1.53
6	2.1
6	2
6	2.19
7	2.17
10	1.57
7	2.14
8	2.13
7	1.48
7	2.63
9	0.91
7	2.16
8	2.19
8	1.71
6	2.01
6	2.44
7	1.78
5	2.35
6	1.95
7	2.02
5	2.48
9	1.08
7	2.13
9	2.25
8	1.84
9	1.66
9	1.9
9	1.8
7	2.16
9	1.28
7	1.99
8	1.62
9	1.39
6	2.57
8	1.67
10	1.93
6	2.42
8	1.76
3	3.21
7	1.32
8	1.8
6	1.92
9	1.58
7	2.56
8	1.78
6	2.11
10	1.32
5	2.12
3	2.79
7	1.72
5	2.55
5	1.84
6	1.95
6	1.53
9	1.67
9	1.75
8	1.12
8	2.36
9	2.17
6	2.62
10	2.2
9	2.23
6	2.47
7	2.31
7	1.05
6	1.93
6	2.17
9	1.74
4	2.48
9	1.42
8	2.35
7	2.15
6	2.22
6	2.55
9	1.92
8	1.63
5	2.52
9	1.59
8	2.58
6	2.61
6	2.49
8	2.25
8	2.11
7	1.92
10	1.07
7	1.57
7	1.85
8	1.81
7	1.52
8	1.82
8	1.64
7	1.74
8	1.74
7	2.44
