Debt	Television
81708	40
140400	15
228366	36
137176	37
99522	42
164431	27
108764	25
169169	26
36617	22
111109	17
94674	19
129337	20
26613	23
128545	43
158004	43
56879	26
100078	25
158097	36
107671	18
198811	35
97956	30
72762	17
67721	13
195427	44
181866	26
98324	24
115842	24
20516	30
169104	32
97961	16
145794	29
140254	22
71460	30
113584	22
141652	40
117790	24
184908	30
137167	34
108140	29
96550	9
140823	25
129735	32
132452	23
119666	37
79125	34
212328	45
108628	44
74366	29
38210	31
43051	25
105135	30
134104	40
142997	28
109414	26
86637	41
184874	38
134691	28
139894	33
198234	33
145258	42
158861	34
102670	35
146193	23
189789	42
139918	21
77816	29
87156	29
143401	42
152845	35
63710	18
144395	28
122953	43
112753	49
144107	30
159829	22
87473	15
98110	16
132269	13
188238	37
156232	31
168223	25
83595	26
118695	21
145268	42
95132	35
157737	25
134285	24
100434	26
160023	52
149815	36
148030	23
131469	42
82784	13
138214	28
43717	23
142449	40
96618	11
99874	23
80686	16
87820	28
108176	28
204399	57
237131	43
107644	30
102938	17
113858	30
166206	34
94335	34
65109	20
81096	29
113611	20
70398	21
172270	44
79625	16
277234	53
25240	14
136486	24
73805	27
69627	24
111226	35
147720	35
121768	36
245525	41
210765	44
121672	14
135904	32
89620	44
130725	40
121759	11
20938	20
130424	38
177563	36
122979	33
167132	37
127318	50
126937	22
148643	31
76042	26
120813	28
129270	17
123674	16
109214	27
38750	20
85623	27
151718	31
157464	40
111780	31
163191	30
124768	34
141458	21
26787	18
112242	24
170331	32
69537	20
130697	25
182681	41
55733	6
179771	37
91238	25
34773	24
132615	23
118057	24
124292	34
143841	24
105462	42
202901	50
68789	29
105138	20
155192	35
142751	32
111248	41
67076	21
107247	41
180712	36
114471	17
97739	29
97754	26
224816	47
223353	26
175944	36
203962	44
92146	13
101175	41
187300	30
192007	39
37598	24
88004	22
108941	36
110546	28
193663	32
144668	25
130141	22
98623	28
97394	21
195783	46
151455	31
85199	31
212616	41
170678	13
117352	15
129755	30
125788	21
118035	34
107869	15
134457	33
147339	35
183981	48
112775	32
88501	39
77897	26
100014	43
121865	25
224147	42
135283	28
73417	16
60876	27
74202	21
112627	30
145242	20
128341	29
82488	21
154691	48
93811	20
112924	35
161235	47
91041	15
108496	26
98519	35
122107	31
37079	11
149411	33
49485	19
145584	28
134094	41
101917	32
97906	42
153212	49
134969	37
128753	30
92867	11
177611	37
67417	29
59563	19
144899	40
81715	18
203050	36
219649	51
76156	27
137654	38
159615	39
85963	22
139426	33
112707	43
91388	25
60683	28
115705	29
97118	34
133000	27
197239	53
163969	38
144890	32
222989	57
73094	21
124396	42
70397	32
89541	35
86759	21
99232	10
168076	48
164474	33
176994	23
141586	10
113240	34
74343	28
103571	37
91404	37
154167	26
82688	21
153660	30
110530	39
111792	42
121059	29
100426	38
129551	39
94711	18
98410	35
138475	40
123646	21
168140	38
145342	18
184485	31
192462	37
174199	41
145248	34
43180	10
133502	40
170907	22
147070	39
149343	32
169901	42
174281	41
173297	29
64638	17
130033	24
167605	38
73241	27
85779	16
85036	27
130868	30
58187	25
146589	25
85713	25
178693	33
146013	26
165009	49
143757	24
179427	51
-27125	20
147454	47
87137	34
223891	45
181495	35
184006	44
166470	28
130471	32
123851	9
96700	14
148868	42
78844	17
218211	46
224258	44
166006	40
127346	44
166304	40
104699	20
60972	40
75211	28
75893	36
203585	37
135597	28
201228	38
161317	40
147482	38
178140	42
140582	28
128270	32
23779	12
207713	39
76834	23
58128	30
127139	15
176062	16
99262	15
83186	31
159564	35
85684	22
95657	30
148101	26
119430	33
156119	38
73534	27
129387	38
142914	31
170768	46
89839	25
136993	38
112960	25
135987	32
139847	31
130218	27
176889	33
128106	33
116861	22
102817	36
93077	46
168868	49
117487	33
149172	40
73860	18
149120	24
152044	22
79055	12
56313	14
214847	48
198605	45
148376	42
107299	19
138035	35
121148	31
223955	38
126861	29
121159	29
213463	38
197297	51
29408	29
140720	36
174778	37
114879	32
107101	30
141742	32
113865	52
227522	43
113093	35
101453	13
257651	50
157612	34
164358	32
96700	12
70478	34
167284	34
93968	22
54756	13
155949	19
93123	36
134740	26
79209	24
185200	33
176298	31
86196	37
72147	15
134964	25
164698	34
82931	13
25609	28
186712	32
52126	17
169630	50
62294	31
232295	43
145778	27
